"label","department_name","region_name"
"gilly les citeaux","côte-d'or","bourgogne-franche-comté"
"grancey le chateau","côte-d'or","bourgogne-franche-comté"
"grancey sur ource","côte-d'or","bourgogne-franche-comté"
"gresigny ste reine","côte-d'or","bourgogne-franche-comté"
"jouey","côte-d'or","bourgogne-franche-comté"
"jours les baigneux","côte-d'or","bourgogne-franche-comté"
"juillenay","côte-d'or","bourgogne-franche-comté"
"labergement les auxonne","côte-d'or","bourgogne-franche-comté"
"lamargelle","côte-d'or","bourgogne-franche-comté"
"lantenay","côte-d'or","bourgogne-franche-comté"
"laperriere sur saone","côte-d'or","bourgogne-franche-comté"
"larrey","côte-d'or","bourgogne-franche-comté"
"longeault pluvault","côte-d'or","bourgogne-franche-comté"
"lucey","côte-d'or","bourgogne-franche-comté"
"magny lambert","côte-d'or","bourgogne-franche-comté"
"magny les aubigny","côte-d'or","bourgogne-franche-comté"
"maisey le duc","côte-d'or","bourgogne-franche-comté"
"marcellois","côte-d'or","bourgogne-franche-comté"
"marigny les reullee","côte-d'or","bourgogne-franche-comté"
"mavilly mandelot","côte-d'or","bourgogne-franche-comté"
"merceuil","côte-d'or","bourgogne-franche-comté"
"millery","côte-d'or","bourgogne-franche-comté"
"moitron","côte-d'or","bourgogne-franche-comté"
"montagny les beaune","côte-d'or","bourgogne-franche-comté"
"montigny mornay villeneuve vinge","côte-d'or","bourgogne-franche-comté"
"montigny mornay villeneuve vinge","côte-d'or","bourgogne-franche-comté"
"montlay en auxois","côte-d'or","bourgogne-franche-comté"
"montoillot","côte-d'or","bourgogne-franche-comté"
"mont st jean","côte-d'or","bourgogne-franche-comté"
"moutiers st jean","côte-d'or","bourgogne-franche-comté"
"neuilly crimolois","côte-d'or","bourgogne-franche-comté"
"nod sur seine","côte-d'or","bourgogne-franche-comté"
"noiron sous gevrey","côte-d'or","bourgogne-franche-comté"
"nuits st georges","côte-d'or","bourgogne-franche-comté"
